epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1846.52,1.32832,2.60389,1.44008,0.64379,0.42386,0.50769,0.31426,1.37961,1.77171,1.50147,0.000331019,0.000331019,0.000331019
2,3589.73,1.26959,1.52476,1.42687,0.51289,0.36335,0.37128,0.20096,1.63252,2.59578,1.76245,0.000598581,0.000598581,0.000598581
3,5412.98,1.26307,1.46884,1.43129,0.6077,0.52233,0.57729,0.3447,1.35946,1.46176,1.47082,0.000800144,0.000800144,0.000800144
4,7201.03,1.18845,1.23149,1.37148,0.66479,0.56867,0.62569,0.39569,1.30764,1.39905,1.43781,0.000703,0.000703,0.000703
5,9163.23,1.13769,1.10898,1.3354,0.74114,0.58985,0.66895,0.43485,1.20005,1.16822,1.35088,0.000604,0.000604,0.000604
6,11058,1.07268,1.00743,1.27007,0.73111,0.66541,0.72839,0.47781,1.17156,1.05811,1.31541,0.000505,0.000505,0.000505
7,12902.2,1.00934,0.90635,1.23411,0.78643,0.71584,0.78548,0.53821,1.06439,0.87079,1.2188,0.000406,0.000406,0.000406
8,14657.3,0.9718,0.80447,1.19319,0.79488,0.73862,0.81533,0.56807,0.99843,0.77984,1.16221,0.000307,0.000307,0.000307
9,16373.1,0.92572,0.70506,1.15161,0.82958,0.78246,0.84248,0.59279,0.96626,0.72713,1.14124,0.000208,0.000208,0.000208
10,18085.2,0.85728,0.62669,1.1083,0.83889,0.80641,0.86531,0.62551,0.91075,0.67954,1.09591,0.000109,0.000109,0.000109
